GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Margin of Error; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Male; Margin of Error; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Female; Margin of Error; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Margin of Error; Population 18 to 24 years - Less than high school graduate,Male; Estimate; Population 18 to 24 years - Less than high school graduate,Male; Margin of Error; Population 18 to 24 years - Less than high school graduate,Female; Estimate; Population 18 to 24 years - Less than high school graduate,Female; Margin of Error; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),Male; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Male; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),Female; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Female; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),Total; Estimate; Population 18 to 24 years - Some college or associate's degree,Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree,Male; Estimate; Population 18 to 24 years - Some college or associate's degree,Male; Margin of Error; Population 18 to 24 years - Some college or associate's degree,Female; Estimate; Population 18 to 24 years - Some college or associate's degree,Female; Margin of Error; Population 18 to 24 years - Some college or associate's degree,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,Male; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Male; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,Female; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Female; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Male; Estimate; Population 25 years and over,Male; Margin of Error; Population 25 years and over,Female; Estimate; Population 25 years and over,Female; Margin of Error; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,Total; Margin of Error; Population 25 years and over - Less than 9th grade,Male; Estimate; Population 25 years and over - Less than 9th grade,Male; Margin of Error; Population 25 years and over - Less than 9th grade,Female; Estimate; Population 25 years and over - Less than 9th grade,Female; Margin of Error; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma","Male; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Male; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma","Female; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Female; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),Male; Estimate; Population 25 years and over - High school graduate (includes equivalency),Male; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),Female; Estimate; Population 25 years and over - High school graduate (includes equivalency),Female; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree","Total; Margin of Error; Population 25 years and over - Some college, no degree","Male; Estimate; Population 25 years and over - Some college, no degree","Male; Margin of Error; Population 25 years and over - Some college, no degree","Female; Estimate; Population 25 years and over - Some college, no degree","Female; Margin of Error; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Margin of Error; Population 25 years and over - Associate's degree,Male; Estimate; Population 25 years and over - Associate's degree,Male; Margin of Error; Population 25 years and over - Associate's degree,Female; Estimate; Population 25 years and over - Associate's degree,Female; Margin of Error; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Margin of Error; Population 25 years and over - Bachelor's degree,Male; Estimate; Population 25 years and over - Bachelor's degree,Male; Margin of Error; Population 25 years and over - Bachelor's degree,Female; Estimate; Population 25 years and over - Bachelor's degree,Female; Margin of Error; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Margin of Error; Population 25 years and over - Graduate or professional degree,Male; Estimate; Population 25 years and over - Graduate or professional degree,Male; Margin of Error; Population 25 years and over - Graduate or professional degree,Female; Estimate; Population 25 years and over - Graduate or professional degree,Female; Margin of Error; Population 25 years and over - Graduate or professional degree,Total; Estimate; Population 25 years and over - Percent high school graduate or higher,Total; Margin of Error; Population 25 years and over - Percent high school graduate or higher,Male; Estimate; Population 25 years and over - Percent high school graduate or higher,Male; Margin of Error; Population 25 years and over - Percent high school graduate or higher,Female; Estimate; Population 25 years and over - Percent high school graduate or higher,Female; Margin of Error; Population 25 years and over - Percent high school graduate or higher,Total; Estimate; Population 25 years and over - Percent bachelor's degree or higher,Total; Margin of Error; Population 25 years and over - Percent bachelor's degree or higher,Male; Estimate; Population 25 years and over - Percent bachelor's degree or higher,Male; Margin of Error; Population 25 years and over - Percent bachelor's degree or higher,Female; Estimate; Population 25 years and over - Percent bachelor's degree or higher,Female; Margin of Error; Population 25 years and over - Percent bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
0400000US01,01,Alabama,459914,1046,232391,791,227523,712,20.0,0.4,22.7,0.6,17.3,0.6,31.5,0.6,34.0,0.9,28.8,0.7,41.5,0.6,37.9,0.9,45.2,0.8,7.0,0.3,5.3,0.4,8.7,0.4,3049663,1056,1436480,861,1613183,884,6.4,0.1,6.8,0.1,6.0,0.1,12.7,0.1,12.9,0.2,12.6,0.2,31.8,0.2,31.9,0.3,31.8,0.2,20.7,0.2,20.3,0.3,21.1,0.2,6.7,0.1,6.0,0.1,7.4,0.1,13.7,0.2,14.1,0.2,13.4,0.2,7.8,0.1,8.0,0.1,7.6,0.1,80.8,0.2,80.3,0.2,81.3,0.2,21.5,0.2,22.1,0.3,21.0,0.2,30427,159,37369,276,23752,190,53498,455,74368,1337,46476,392
0400000US02,02,Alaska,80919,589,45965,396,34954,304,18.0,1.1,18.3,1.3,17.7,1.5,39.8,1.4,44.1,1.8,34.2,2.0,37.0,1.5,33.5,1.8,41.5,2.0,5.2,0.5,4.2,0.7,6.6,0.9,419058,616,215458,497,203600,457,3.5,0.2,3.5,0.3,3.5,0.2,5.8,0.3,6.0,0.4,5.5,0.4,28.5,0.5,30.7,0.7,26.2,0.7,27.8,0.5,27.6,0.6,28.0,0.8,7.9,0.3,7.5,0.5,8.3,0.4,17.1,0.5,15.3,0.5,19.0,0.7,9.5,0.3,9.4,0.4,9.5,0.4,90.7,0.3,90.5,0.4,91.0,0.4,26.5,0.6,24.7,0.6,28.5,0.7,38029,493,45762,890,30732,452,62905,1406,73292,2253,54051,1730
0400000US04,04,Arizona,589846,612,309869,462,279977,389,22.3,0.5,25.3,0.7,18.9,0.6,32.3,0.5,34.0,0.8,30.5,0.7,38.9,0.6,36.0,0.8,42.2,0.7,6.5,0.3,4.7,0.3,8.4,0.4,4062351,649,2002922,476,2059429,457,7.2,0.1,7.6,0.2,6.8,0.1,8.9,0.1,9.3,0.2,8.5,0.2,25.6,0.2,25.1,0.3,26.1,0.2,24.8,0.2,24.0,0.2,25.6,0.2,7.8,0.1,7.2,0.1,8.4,0.1,16.4,0.1,16.8,0.2,16.0,0.2,9.3,0.1,10.0,0.1,8.7,0.1,83.9,0.2,83.1,0.2,84.7,0.2,25.7,0.2,26.8,0.2,24.7,0.2,33111,152,38092,235,28306,168,57503,749,72451,1150,47922,766
0400000US05,05,Arkansas,271198,1122,137732,825,133466,609,17.8,0.5,20.5,0.8,15.1,0.8,36.2,0.9,38.9,1.1,33.4,1.1,40.0,0.9,36.0,1.1,44.0,1.3,6.0,0.3,4.6,0.4,7.5,0.5,1865765,1284,892114,1046,973651,787,7.2,0.1,7.8,0.2,6.8,0.2,11.4,0.2,11.8,0.2,11.1,0.2,35.4,0.2,35.9,0.4,34.9,0.3,21.4,0.2,20.8,0.3,21.9,0.2,5.6,0.1,4.6,0.2,6.6,0.2,12.6,0.2,12.6,0.2,12.6,0.2,6.3,0.1,6.5,0.2,6.2,0.2,81.3,0.2,80.4,0.3,82.2,0.2,18.9,0.2,19.1,0.3,18.8,0.3,27720,232,32827,285,22499,210,51588,655,64558,1683,45874,563
0400000US06,06,California,3649552,1195,1906361,857,1743191,844,18.5,0.2,21.5,0.2,15.2,0.2,31.4,0.2,33.5,0.2,29.1,0.3,42.2,0.2,38.7,0.3,45.9,0.3,8.0,0.1,6.3,0.2,9.8,0.2,23219217,1277,11417112,1116,11802105,868,10.4,0.1,10.3,0.1,10.5,0.1,9.1,0.1,9.6,0.1,8.6,0.1,21.9,0.1,21.8,0.1,21.9,0.1,21.2,0.1,20.5,0.1,21.9,0.1,7.6,0.1,7.1,0.1,8.2,0.1,19.1,0.1,19.0,0.1,19.2,0.1,10.7,0.1,11.6,0.1,9.7,0.1,80.5,0.1,80.1,0.1,80.8,0.1,29.7,0.1,30.6,0.1,28.9,0.1,36990,101,42422,140,31019,90,74216,292,89146,445,61198,355
0400000US08,08,Colorado,490872,1062,257509,830,233363,653,17.3,0.5,19.8,0.6,14.6,0.6,30.3,0.5,32.6,0.8,27.7,0.7,42.1,0.6,39.5,0.8,44.9,0.9,10.3,0.4,8.1,0.5,12.8,0.5,3155677,1197,1568347,1099,1587330,889,4.5,0.1,4.8,0.1,4.1,0.1,6.7,0.1,6.9,0.2,6.4,0.1,23.7,0.2,23.7,0.3,23.7,0.2,22.1,0.2,21.2,0.2,23.0,0.2,7.6,0.1,7.1,0.1,8.2,0.2,22.9,0.2,22.9,0.2,22.8,0.2,12.6,0.2,13.4,0.2,11.8,0.2,88.9,0.2,88.2,0.2,89.5,0.2,35.5,0.2,36.3,0.3,34.6,0.2,36201,165,42703,268,29782,216,59707,743,75912,1071,47487,660
0400000US09,09,Connecticut,328175,462,169134,331,159041,274,13.2,0.4,15.3,0.6,10.9,0.5,30.8,0.6,34.2,0.9,27.2,0.9,43.5,0.7,40.3,1.1,46.9,1.0,12.5,0.4,10.3,0.5,14.9,0.7,2344192,476,1113614,335,1230578,315,4.7,0.1,4.6,0.1,4.7,0.2,7.1,0.1,7.4,0.2,6.9,0.2,28.8,0.2,29.0,0.3,28.6,0.3,17.1,0.2,16.7,0.2,17.4,0.2,7.3,0.1,6.0,0.1,8.4,0.2,19.9,0.2,20.5,0.2,19.3,0.2,15.2,0.2,15.7,0.2,14.7,0.2,88.2,0.2,88.0,0.2,88.4,0.2,35.1,0.3,36.3,0.3,34.0,0.3,43027,181,52013,322,34724,232,72705,474,92527,1233,59084,839
0400000US10,10,Delaware,81515,131,41311,104,40204,66,18.1,1.0,22.1,1.5,14.0,1.2,33.4,2.0,35.2,2.3,31.5,2.4,39.0,2.0,35.1,2.3,42.9,2.5,9.5,0.8,7.6,0.9,11.5,1.1,577088,130,273082,129,304006,105,4.3,0.2,4.9,0.2,3.9,0.2,9.1,0.3,9.7,0.4,8.7,0.4,32.2,0.4,31.8,0.6,32.6,0.5,19.4,0.4,19.2,0.5,19.6,0.5,7.3,0.2,6.1,0.3,8.4,0.3,16.6,0.4,16.6,0.4,16.6,0.6,10.9,0.3,11.7,0.4,10.3,0.3,86.5,0.3,85.4,0.5,87.5,0.5,27.5,0.5,28.3,0.5,26.8,0.6,37301,377,43768,579,31507,394,63435,1014,75919,2686,54561,1442
0400000US11,11,District of Columbia,69898,232,31863,80,38035,211,14.7,1.0,18.9,1.8,11.2,1.1,23.9,1.4,25.1,2.2,23.0,1.5,40.3,1.7,37.6,2.8,42.6,2.0,21.1,1.3,18.5,2.0,23.3,1.9,404543,255,187716,145,216827,213,5.6,0.3,6.0,0.4,5.2,0.4,8.9,0.4,8.7,0.6,9.2,0.5,20.7,0.5,20.1,0.7,21.2,0.6,14.4,0.4,13.4,0.7,15.3,0.5,3.2,0.2,2.8,0.3,3.6,0.3,20.8,0.4,21.7,0.6,20.0,0.5,26.4,0.4,27.3,0.6,25.6,0.6,85.5,0.4,85.4,0.6,85.6,0.5,47.1,0.5,49.0,0.7,45.5,0.6,46488,776,49747,1004,43875,817,80036,1608,94743,2540,69503,1816
